2024-08-31 13:58:09,826 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-08-31 13:58:10,110 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-08-31 13:58:10,722 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-08-31 13:58:11,700 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-08-31 13:58:12,143 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-08-31 13:58:12,343 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-08-31 13:58:12,819 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-08-31 13:58:13,580 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-08-31 13:58:14,085 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-08-31 13:58:14,321 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-08-31 13:58:15,241 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-08-31 13:58:16,349 - Epoch 2/20 --> Training Loss : 0.3955, Validation Loss : 0.7796, Time: 1016.31 seconds
2024-08-31 13:58:16,349 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-08-31 13:58:17,032 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-08-31 13:58:17,332 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-08-31 13:58:18,004 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-08-31 13:59:40,855 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-08-31 13:59:41,715 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-08-31 13:59:42,062 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-08-31 13:59:42,596 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
